"","time","variable","I","group"
"120",119,"I_i",3.51693947605545e-06,"simple_180"
"121",120,"I_i",3.31321052862919e-06,"simple_180"
"122",121,"I_i",3.12011207257259e-06,"simple_180"
"123",122,"I_i",2.93716532905331e-06,"simple_180"
"124",123,"I_i",2.76390839141897e-06,"simple_180"
"125",124,"I_i",2.59989591247585e-06,"simple_180"
"126",125,"I_i",2.44469870928836e-06,"simple_180"
"127",126,"I_i",2.2979039076787e-06,"simple_180"
"128",127,"I_i",2.15911387999709e-06,"simple_180"
"129",128,"I_i",2.0279459732655e-06,"simple_180"
"130",129,"I_i",1.90403242741339e-06,"simple_180"
"131",130,"I_i",1.78702009497171e-06,"simple_180"
"132",131,"I_i",1.67656994012892e-06,"simple_180"
"133",132,"I_i",1.57235666165568e-06,"simple_180"
"134",133,"I_i",1.47405907552778e-06,"simple_180"
"135",134,"I_i",1.38139666086776e-06,"simple_180"
"136",135,"I_i",1.29405147034178e-06,"simple_180"
"137",136,"I_i",1.21177379278036e-06,"simple_180"
"138",137,"I_i",1.13430133768439e-06,"simple_180"
"139",138,"I_i",1.06138325205318e-06,"simple_180"
"140",139,"I_i",9.92779779771561e-07,"simple_180"
"141",140,"I_i",9.2826191067841e-07,"simple_180"
"142",141,"I_i",8.67611019782785e-07,"simple_180"
"143",142,"I_i",8.10618510696739e-07,"simple_180"
"144",143,"I_i",7.5708546420442e-07,"simple_180"
"145",144,"I_i",7.0682229215856e-07,"simple_180"
"146",145,"I_i",6.5964839712103e-07,"simple_180"
"147",146,"I_i",6.15391838127296e-07,"simple_180"
"148",147,"I_i",5.73889002910159e-07,"simple_180"
"149",148,"I_i",5.3498428687746e-07,"simple_180"
"150",149,"I_i",4.98529779099944e-07,"simple_180"
"151",150,"I_i",4.6438495552904e-07,"simple_180"
"152",151,"I_i",4.32416379629818e-07,"simple_180"
"153",152,"I_i",4.02497410581905e-07,"simple_180"
"154",153,"I_i",3.74507919170533e-07,"simple_180"
"155",154,"I_i",3.48334011461182e-07,"simple_180"
"156",155,"I_i",3.23867760324346e-07,"simple_180"
"157",156,"I_i",3.01006944851798e-07,"simple_180"
"158",157,"I_i",2.79654797682314e-07,"simple_180"
"159",158,"I_i",2.59719760233002e-07,"simple_180"
"160",159,"I_i",2.41115245812222e-07,"simple_180"
"161",160,"I_i",2.23759410571471e-07,"simple_180"
"162",161,"I_i",2.07574932236417e-07,"simple_180"
"163",162,"I_i",1.92488796541651e-07,"simple_180"
"164",163,"I_i",1.78432091279326e-07,"simple_180"
"165",164,"I_i",1.65339807858914e-07,"simple_180"
"166",165,"I_i",1.53150650263565e-07,"simple_180"
"167",166,"I_i",1.41806851278014e-07,"simple_180"
"168",167,"I_i",1.31253995853645e-07,"simple_180"
"169",168,"I_i",1.21440851468022e-07,"simple_180"
"170",169,"I_i",1.12319205328966e-07,"simple_180"
"171",170,"I_i",1.03843708267013e-07,"simple_180"
"172",171,"I_i",9.59717251547555e-08,"simple_180"
"173",172,"I_i",8.86631916871196e-08,"simple_180"
"174",173,"I_i",8.18804773530239e-08,"simple_180"
"175",174,"I_i",7.5588254425983e-08,"simple_180"
"176",175,"I_i",6.9753372799111e-08,"simple_180"
"177",176,"I_i",6.43447404885103e-08,"simple_180"
